Progress,Duration (in seconds),pid3,pid3_4_TEXT,Q303,first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,therm_pubs_1,therm_dems_1,human_23,human_24,immigration_1,immigration_2,immigration_3,immigration_4,immigration_5,immigration_6,immigration_7,immigration_8,strongid,closestid,ideo7,sit_1,sit_2,sit_3,sit_4,Q301_1,Q301_2,Q301_3,Q301_4,Q301_5,Q302_1,Q302_2,Q302_3,Q302_4,Q302_5,Q306,Q308,Q310,Q310_10_TEXT,Q308.1,Q308_3_TEXT,Q309,Q309_6_TEXT,Q310.1,Q311,Q176,Q177,participant_id
100,1148,Republican,,5fe439573986cc13af4a8691,"unequal,unfair,expensive,ignorant","racism,oppression,violence,injustice","politics,constitution,people,military","land,president,life,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,unfair,dangerous,ignorant","racism,oppression,violence,drugs","politics,western,constitution,military","land,president,life,work","wealthy,powerful,proud,strong","bravery,independence,justice,leader","unequal,broken,unfair,expensive","racism,oppression,violence,drugs","politics,constitution,people,military","land,city,life,work","diverse,innovative,powerful,proud","openness,justice,safety,opportunity","unequal,unfair,dangerous,expensive","greed,racism,corruption,injustice","politics,constitution,state,military","land,president,life,work","wealthy,diverse,powerful,strong","bravery,independence,justice,opportunity",80.0,31.0,83.0,40.0,"Strongly
support","Neither oppose
nor support","Strongly
support","Weakly
support","Strongly
support","Moderately
support","Neither oppose
nor support","Moderately
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely conservative,Extremely important,Very well,A great deal,All of the time,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,New York,,Catholicism (including Roman Catholic),,,,,,,,Information,,rV8uPX1hWm
100,15,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v13fWn3lzs
100,489,Democrat,,5de53f1ee5ce380ba56ede80,"broken,unfair,sad,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,military","land,coast,eagle,president","wealthy,beautiful,innovative,powerful","openness,independence,leader,opportunity","broken,angry,unfair,dangerous","corruption,obesity,injustice,drugs","capitalist,politics,constitution,military","land,eagle,president,work","wealthy,beautiful,powerful,strong","bravery,family,justice,leader","unequal,broken,unfair,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,people","coast,eagle,city,president","wealthy,diverse,innovative,powerful","bravery,justice,leader,opportunity","unequal,broken,unfair,sad","greed,oppression,corruption,injustice","capitalist,politics,constitution,people","mountain,land,eagle,president","wealthy,powerful,proud,strong","independence,justice,leader,opportunity",15.0,50.0,89.0,100.0,"Weakly
oppose","Moderately
support","Strongly
support","Moderately
support","Moderately
oppose","Moderately
oppose","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Not very important,Not very well,Very little,Some of the time,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Tennessee,,Atheists (do not believe God exists),,,,,,,,it was fine,make the font and stuff smaller.,QcbbdUHWag
100,980,Democrat,,5f0d8c773470fc036652f256,"unequal,unfair,expensive,ignorant","greed,racism,corruption,obesity","politics,constitution,state,people","mountain,land,eagle,life","diverse,beautiful,innovative,powerful","family,independence,justice,opportunity","angry,unfair,dangerous,expensive","greed,violence,injustice,drugs","capitalist,politics,state,military","eagle,president,life,work","wealthy,powerful,proud,strong","family,independence,safety,leader","unequal,unfair,sad,ignorant","greed,racism,oppression,obesity","politics,constitution,state,people","city,president,life,work","diverse,beautiful,innovative,happy","family,openness,justice,opportunity","unequal,angry,expensive,ignorant","racism,obesity,violence,injustice","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","family,independence,justice,opportunity",40.0,85.0,90.0,90.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Moderately
support","Strongly
support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Very important,Very well,A great deal,Some of the time,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Arizona,,Other (please specify),spiritualist,,,,,,,A little wonkie,No,Lnu4G3St6E
100,790,Democrat,,5d48b029c4b12b00194b5aa5,"angry,unfair,sad,ignorant","racism,obesity,violence,drugs","politics,constitution,people,military","land,eagle,president,life","wealthy,diverse,powerful,proud","bravery,independence,justice,opportunity","unequal,broken,angry,sad","racism,corruption,violence,drugs","capitalist,politics,western,military","land,coast,eagle,president","wealthy,beautiful,powerful,proud","bravery,independence,leader,opportunity","unequal,broken,angry,unfair","racism,obesity,violence,drugs","politics,constitution,state,people","eagle,city,president,life","diverse,powerful,proud,strong","independence,justice,leader,opportunity","broken,angry,unfair,dangerous","racism,obesity,violence,drugs","capitalist,politics,western,constitution","mountain,eagle,city,president","wealthy,innovative,powerful,strong","family,independence,leader,opportunity",50.0,90.0,90.0,90.0,"Neither oppose
nor support","Strongly
support","Moderately
support","Strongly
support","Neither oppose
nor support","Moderately
support","Strongly
support","Moderately
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Extremely important,Very well,Somewhat,Some of the time,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Illinois,,Judaism,,,,,,,,"It was more varied than most, but it kept me engaged. Thanks for the opportunity.",Not really.,G8EtHNAdup
100,772,Republican,,5d8a64630ffb9c001746ca2c,"broken,angry,sad,expensive","greed,corruption,obesity,violence","capitalist,constitution,people,ocean","mountain,coast,life,work","wealthy,beautiful,happy,strong","independence,justice,safety,opportunity","broken,unfair,expensive,ignorant","racism,corruption,violence,drugs","constitution,state,people,ocean","mountain,land,coast,life","beautiful,innovative,happy,strong","family,independence,leader,opportunity","angry,dangerous,sad,ignorant","greed,racism,oppression,injustice","politics,western,people,ocean","mountain,coast,eagle,life","diverse,beautiful,happy,proud","openness,independence,justice,safety","broken,angry,sad,expensive","racism,oppression,violence,injustice","constitution,state,people,ocean","mountain,land,coast,life","beautiful,innovative,happy,strong","family,independence,justice,safety",95.0,15.0,85.0,15.0,"Moderately
support","Strongly
oppose","Strongly
oppose","Strongly
oppose","Strongly
support","Neither oppose
nor support","Strongly
oppose","Moderately
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Not very important,Very well,Somewhat,Some of the time,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,California,,Agnostic (not sure if God exists),,,,,,,,I thought went along pretty smooth. No issues,I think you did a pretty good job already.,rBYWNjyauW
100,29,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gwf5bRTbUz
100,734,Democrat,,5ec6f65e093c7a11cd3acd2b,"unequal,broken,unfair,dangerous","racism,oppression,corruption,violence","capitalist,politics,western,military","land,eagle,president,work","wealthy,diverse,powerful,strong","family,openness,independence,leader","unequal,broken,angry,ignorant","corruption,obesity,violence,drugs","western,constitution,people,military","eagle,president,life,work","wealthy,innovative,proud,strong","bravery,independence,justice,leader","unequal,unfair,expensive,ignorant","oppression,corruption,obesity,injustice","capitalist,politics,state,people","coast,city,president,work","diverse,beautiful,innovative,proud","independence,justice,leader,opportunity","angry,unfair,expensive,ignorant","greed,corruption,obesity,injustice","western,constitution,state,people","land,eagle,president,life","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity",0.0,60.0,100.0,100.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Neither oppose
nor support","Strongly
oppose","Strongly
support","Strongly
oppose",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Not very important,Not very well,Very little,Some of the time,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Maryland,,Atheists (do not believe God exists),,,,,,,,Word association is interesting.,The evolution question was weird. I'm not sure what purpose it served.,gnA4XZSU2x
100,619,Republican,,5fefd7b60f62f432c4ccfab0,"broken,unfair,sad,ignorant","greed,oppression,corruption,injustice","politics,constitution,people,military","land,eagle,president,work","wealthy,powerful,proud,strong","family,independence,leader,opportunity","unequal,broken,angry,unfair","greed,corruption,violence,injustice","capitalist,politics,constitution,military","land,eagle,president,work","wealthy,beautiful,happy,strong","bravery,family,independence,opportunity","unequal,broken,unfair,expensive","greed,racism,oppression,violence","politics,constitution,people,military","land,eagle,president,life","diverse,innovative,happy,proud","family,independence,safety,opportunity","unequal,broken,unfair,ignorant","greed,corruption,obesity,injustice","politics,western,constitution,military","land,president,life,work","wealthy,powerful,proud,strong","family,independence,safety,opportunity",81.0,62.0,81.0,70.0,"Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Slightly conservative,Not at all,Not very well,Very little,Rarely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Massachusetts,,Christian Orthodox,,,,,,,,Too much about what others think,I suggest questions to be geared towards the individual not about what others think,mxodCqdkDn
100,511,Republican,,5c6c666a4d4f48000122caf8,"broken,angry,sad,expensive","greed,oppression,corruption,violence","capitalist,western,constitution,people","mountain,land,coast,city","beautiful,happy,proud,strong","bravery,independence,leader,opportunity","broken,angry,sad,ignorant","greed,corruption,violence,drugs","capitalist,constitution,people,military","eagle,president,life,work","innovative,powerful,proud,strong","bravery,family,independence,leader","unequal,unfair,dangerous,ignorant","greed,racism,oppression,injustice","capitalist,politics,western,military","city,president,life,work","wealthy,diverse,innovative,powerful","openness,justice,safety,leader","unequal,broken,unfair,sad","greed,corruption,violence,injustice","politics,western,constitution,people","eagle,president,life,work","beautiful,innovative,powerful,strong","family,independence,leader,opportunity",50.0,50.0,100.0,100.0,"Moderately
support","Neither oppose
nor support","Moderately
oppose","Weakly
support","Strongly
support","Strongly
oppose","Strongly
oppose","Strongly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Slightly conservative,Not at all,Not very well,Not at all,Never,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Ohio,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,It made me think a little harder about how I personally feel about America,,WPpNVqIh6M
100,1179,Democrat,,5e3c80d18af2be072bbd60cc,"unequal,angry,sad,expensive","greed,racism,injustice,drugs","politics,constitution,people,ocean","land,eagle,president,life","diverse,beautiful,innovative,powerful","bravery,family,independence,opportunity","unequal,broken,expensive,ignorant","greed,violence,injustice,drugs","politics,constitution,people,military","land,president,life,work","wealthy,powerful,proud,strong","bravery,justice,leader,opportunity","unequal,angry,sad,expensive","racism,corruption,injustice,drugs","politics,constitution,people,military","land,president,life,work","diverse,innovative,proud,strong","bravery,independence,justice,opportunity","unequal,broken,unfair,expensive","greed,racism,injustice,drugs","capitalist,constitution,people,military","eagle,president,life,work","wealthy,diverse,beautiful,proud","family,independence,justice,opportunity",51.0,93.0,75.0,75.0,"Weakly
oppose","Neither oppose
nor support","Neither oppose
nor support","Weakly
support","Weakly
oppose","Neither oppose
nor support","Weakly
support","Moderately
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Very important,Very well,A great deal,Rarely,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,New York,,Other Christianity (including non-denominational),,,,,,,,"okay, intersesting",more on  personal feelings about usa,F9eVxm6AH9
100,946,Republican,,5e1efdb3a8c111230db526ff,"broken,angry,dangerous,sad","racism,corruption,violence,injustice","politics,western,constitution,people","land,eagle,life,work","beautiful,innovative,powerful,proud","independence,justice,leader,opportunity","broken,angry,dangerous,sad","racism,corruption,violence,injustice","politics,western,constitution,people","land,eagle,life,work","wealthy,innovative,powerful,proud","bravery,independence,justice,opportunity","unequal,unfair,dangerous,sad","racism,corruption,violence,injustice","western,constitution,people,ocean","land,president,life,work","wealthy,beautiful,happy,proud","bravery,family,safety,opportunity","unequal,broken,angry,sad","racism,corruption,violence,drugs","politics,western,constitution,people","land,eagle,city,life","beautiful,innovative,powerful,proud","bravery,independence,justice,opportunity",75.0,65.0,71.0,61.0,"Weakly
oppose","Neither oppose
nor support","Moderately
support","Weakly
support","Moderately
support","Neither oppose
nor support","Neither oppose
nor support","Weakly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,A great deal,Some of the time,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,California,,Catholicism (including Roman Catholic),,,,,,,,either democrats or republicans view theamerica same way.,none,awmrOSFBRw
100,2499,Republican,,574eab79c18847000e071119,"unequal,broken,unfair,expensive","greed,racism,corruption,injustice","capitalist,western,constitution,military","eagle,city,president,life","diverse,innovative,powerful,strong","bravery,family,independence,opportunity","broken,angry,dangerous,expensive","greed,corruption,violence,drugs","capitalist,politics,constitution,military","land,eagle,president,life","innovative,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,unfair,dangerous,expensive","racism,oppression,corruption,injustice","capitalist,politics,constitution,people","city,president,life,work","diverse,innovative,happy,proud","openness,independence,safety,opportunity","unequal,unfair,dangerous,expensive","greed,corruption,obesity,violence","capitalist,constitution,people,military","eagle,city,president,life","diverse,innovative,powerful,strong","bravery,independence,justice,opportunity",80.0,30.0,100.0,95.0,"Strongly
support","Strongly
oppose","Strongly
oppose","Strongly
oppose","Strongly
support","Moderately
oppose","Strongly
oppose","Strongly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,Somewhat,All of the time,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Texas,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,I thought the study was interesting and unique.,No,hWeDb5xF1k
100,994,Democrat,,5ad7835e9c198c0001fad31a,"unequal,broken,expensive,ignorant","greed,racism,oppression,injustice","capitalist,politics,constitution,people","land,city,life,work","wealthy,diverse,innovative,powerful","family,independence,leader,opportunity","angry,unfair,sad,expensive","corruption,obesity,violence,drugs","politics,constitution,people,military","land,eagle,president,work","wealthy,beautiful,powerful,proud","bravery,family,independence,leader","unequal,broken,expensive,ignorant","greed,racism,oppression,injustice","politics,constitution,people,military","land,president,life,work","wealthy,diverse,beautiful,proud","bravery,family,justice,opportunity","unequal,broken,angry,expensive","greed,racism,corruption,obesity","politics,constitution,people,military","land,president,life,work","wealthy,beautiful,powerful,proud","bravery,family,independence,leader",30.0,65.0,92.0,100.0,"Moderately
oppose","Moderately
support","Neither oppose
nor support","Neither oppose
nor support","Strongly
oppose","Neither oppose
nor support","Strongly
support","Strongly
oppose",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Not very important,Not very well,Very little,Never,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Pennsylvania,,,,,,,,,,I thought it was interesting to try to put my mind into the minds of others to answer the questions that were asked. ,,o7VOtdV65A
