pid3,Q5,Q7,pre_therm_pubs,pre_therm_dems,pre_med_A_1,pre_med_A_2,pre_med_A_3,pre_med_B_1,pre_med_B_2,pre_med_B_3,pre_dehum_pubs,pre_dehum_dems,first_1,first_2,first_3,first_4,first_5,first_6,post_dehum_pubs,post_dehum_dems,post_therm_pubs,post_therm_dems,post_mediators_A_1,post_mediators_A_2,post_mediators_B_1,post_mediators_B_2,Q64,id_1,id_2,id_3,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,consent,outgroup,cond
Democrat,R,5,30,70,,,,Somewhat agree,Neither agree nor disagree,Strongly agree,100,100,"unequal,broken,unfair,sad","greed,racism,corruption,injustice","politics,constitution,state,people","land,eagle,president,work","diverse,beautiful,innovative,proud","family,independence,safety,opportunity",100,100,30,70,,,Somewhat agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Never,"angry,dangerous,sad,expensive","oppression,obesity,violence,drugs","politics,constitution,state,military","land,eagle,president,work","powerful,happy,proud,strong","bravery,independence,justice,leader","unequal,broken,unfair,sad","racism,oppression,obesity,injustice","politics,constitution,people,military","land,eagle,city,president","diverse,beautiful,happy,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,sad","greed,racism,corruption,injustice","politics,constitution,state,people","land,eagle,city,president","diverse,beautiful,innovative,strong","family,openness,independence,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,5,40,,,,Somewhat agree,Strongly disagree,Strongly agree,66,81,"broken,angry,unfair,ignorant","greed,racism,oppression,injustice","capitalist,politics,constitution,military","land,city,president,life","wealthy,diverse,beautiful,powerful","family,openness,independence,opportunity",70,83,5,45,,,Strongly agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,dangerous,expensive","greed,oppression,corruption,drugs","capitalist,western,state,military","mountain,land,eagle,work","beautiful,powerful,proud,strong","bravery,independence,safety,opportunity","broken,dangerous,expensive,ignorant","greed,racism,oppression,violence","capitalist,constitution,people,military","land,city,president,work","diverse,beautiful,innovative,strong","family,openness,independence,opportunity","unequal,angry,sad,ignorant","racism,oppression,injustice,drugs","politics,constitution,state,people","land,city,president,work","diverse,beautiful,innovative,proud","family,openness,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,8,94,,,,Somewhat agree,Somewhat agree,Somewhat agree,56,94,"broken,angry,dangerous,ignorant","racism,obesity,violence,drugs","capitalist,politics,western,people","land,eagle,city,president","diverse,beautiful,innovative,proud","openness,independence,leader,opportunity",55,98,9,92,,,Neither agree nor disagree,Neither agree nor disagree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"broken,angry,dangerous,expensive","corruption,violence,injustice,drugs","capitalist,western,people,military","eagle,president,life,work","beautiful,powerful,proud,strong","bravery,independence,justice,leader","broken,angry,unfair,dangerous","corruption,obesity,violence,injustice","politics,constitution,state,people","coast,eagle,city,president","wealthy,beautiful,powerful,proud","openness,independence,leader,opportunity","unequal,broken,angry,ignorant","greed,racism,corruption,obesity","politics,state,people,ocean","land,coast,city,life","diverse,beautiful,innovative,happy","openness,justice,safety,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,25,75,,,,Somewhat agree,Strongly disagree,Strongly agree,57,92,"unequal,broken,dangerous,ignorant","greed,racism,obesity,violence","capitalist,politics,western,constitution","mountain,land,eagle,president","wealthy,diverse,innovative,powerful","family,openness,independence,opportunity",52,92,25,81,,,Somewhat agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,Some of the time,"broken,angry,unfair,expensive","corruption,violence,injustice,drugs","capitalist,western,constitution,military","mountain,eagle,president,work","wealthy,powerful,proud,strong","bravery,family,independence,safety","unequal,dangerous,expensive,ignorant","racism,obesity,violence,drugs","capitalist,western,constitution,military","mountain,land,eagle,president","wealthy,innovative,powerful,proud","bravery,family,independence,opportunity","unequal,broken,unfair,ignorant","racism,oppression,violence,injustice","politics,constitution,state,people","eagle,city,president,life","wealthy,diverse,beautiful,innovative","openness,justice,safety,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,18,60,,,,Somewhat agree,Strongly disagree,Strongly agree,100,100,"unequal,broken,expensive,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,military","land,eagle,president,work","wealthy,diverse,powerful,proud","family,openness,leader,opportunity",100,100,18,60,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"angry,dangerous,sad,expensive","corruption,obesity,violence,drugs","politics,constitution,people,military","land,eagle,president,work","beautiful,powerful,proud,strong","family,independence,justice,opportunity","unequal,angry,dangerous,expensive","greed,corruption,obesity,injustice","politics,western,constitution,people","land,eagle,city,president","diverse,beautiful,proud,strong","bravery,independence,justice,opportunity","unequal,broken,unfair,ignorant","racism,oppression,corruption,injustice","capitalist,politics,western,people","eagle,president,life,work","wealthy,diverse,beautiful,strong","family,openness,independence,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,60,70,,,,Somewhat agree,Somewhat disagree,Somewhat agree,50,50,"unequal,angry,expensive,ignorant","greed,racism,obesity,drugs","capitalist,politics,western,constitution","eagle,city,president,work","wealthy,diverse,proud,strong","family,independence,safety,opportunity",50,50,60,70,,,Somewhat agree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"angry,unfair,dangerous,expensive","oppression,corruption,violence,drugs","constitution,people,ocean,military","eagle,president,life,work","powerful,happy,proud,strong","family,independence,justice,leader","unequal,angry,unfair,ignorant","greed,racism,obesity,injustice","capitalist,western,constitution,state","land,eagle,president,work","wealthy,diverse,innovative,proud","independence,justice,leader,opportunity","unequal,broken,unfair,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,constitution","land,city,president,work","diverse,happy,proud,strong","openness,justice,safety,opportunity","Yes, you may use my data",Republican,highICD
Republican,R,5,50,50,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,100,100,"unfair,dangerous,sad,ignorant","greed,obesity,violence,injustice","capitalist,politics,state,military","eagle,president,life,work","wealthy,diverse,innovative,powerful","family,openness,independence,opportunity",100,100,50,50,Neither agree nor disagree,Neither agree nor disagree,,,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Never,"angry,unfair,sad,expensive","greed,oppression,obesity,drugs","capitalist,western,constitution,military","land,eagle,life,work","wealthy,beautiful,innovative,powerful","bravery,family,independence,justice","broken,sad,expensive,ignorant","greed,corruption,obesity,violence","capitalist,politics,constitution,state","eagle,president,life,work","beautiful,innovative,powerful,strong","family,openness,independence,opportunity","unequal,unfair,dangerous,expensive","greed,racism,oppression,violence","politics,constitution,state,military","land,eagle,president,work","innovative,powerful,proud,strong","bravery,justice,leader,opportunity","Yes, you may use my data",Democrat,lowICD
Democrat,R,5,0,39,,,,Somewhat agree,Strongly disagree,Strongly agree,5,51,"unequal,broken,angry,ignorant","racism,oppression,violence,injustice","capitalist,politics,state,military","mountain,land,eagle,president","diverse,beautiful,innovative,proud","bravery,family,independence,leader",5,51,0,36,,,Somewhat agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Some of the time,"unequal,unfair,expensive,ignorant","greed,oppression,violence,drugs","capitalist,politics,people,military","land,president,life,work","wealthy,beautiful,powerful,strong","bravery,justice,leader,opportunity","angry,dangerous,sad,expensive","greed,racism,obesity,injustice","politics,western,people,military","mountain,coast,eagle,president","wealthy,beautiful,innovative,strong","family,independence,justice,safety","unequal,unfair,sad,expensive","oppression,corruption,violence,injustice","politics,constitution,people,military","mountain,land,eagle,life","diverse,beautiful,proud,strong","family,openness,justice,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,32,80,,,,Somewhat agree,Somewhat disagree,Somewhat agree,70,88,"unequal,broken,dangerous,expensive","greed,racism,corruption,injustice","capitalist,politics,state,people","land,eagle,president,life","diverse,happy,proud,strong","openness,independence,leader,opportunity",64,90,27,86,,,Somewhat agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Some of the time,"broken,dangerous,sad,ignorant","greed,racism,violence,injustice","capitalist,politics,constitution,military","coast,eagle,president,life","wealthy,diverse,innovative,powerful","bravery,family,independence,leader","unequal,unfair,expensive,ignorant","racism,oppression,corruption,injustice","capitalist,western,constitution,state","eagle,president,life,work","diverse,innovative,proud,strong","independence,justice,safety,opportunity","unequal,unfair,dangerous,expensive","greed,oppression,corruption,violence","capitalist,politics,people,ocean","mountain,eagle,president,life","wealthy,beautiful,powerful,proud","bravery,openness,safety,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,35,54,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100,100,"unequal,broken,dangerous,ignorant","corruption,obesity,violence,drugs","constitution,state,people,military","eagle,city,president,work","diverse,innovative,powerful,proud","openness,independence,leader,opportunity",100,100,36,54,,,Neither agree nor disagree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Some of the time,"unequal,broken,dangerous,sad","racism,violence,injustice,drugs","capitalist,politics,western,ocean","coast,city,president,work","wealthy,beautiful,innovative,proud","bravery,family,leader,opportunity","unequal,broken,angry,dangerous","racism,violence,injustice,drugs","capitalist,constitution,state,people","eagle,city,president,work","beautiful,innovative,powerful,proud","bravery,family,leader,opportunity","unequal,broken,unfair,ignorant","greed,oppression,corruption,obesity","capitalist,constitution,ocean,military","eagle,city,president,work","innovative,happy,proud,strong","openness,independence,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,5,90,,,,Somewhat agree,Strongly disagree,Strongly agree,100,100,"unequal,broken,unfair,expensive","racism,oppression,obesity,injustice","capitalist,western,constitution,ocean","mountain,coast,eagle,president","wealthy,diverse,beautiful,powerful","bravery,family,independence,safety",100,100,10,90,,,Somewhat agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Some of the time,"angry,dangerous,sad,expensive","greed,obesity,violence,drugs","capitalist,western,constitution,military","eagle,president,life,work","powerful,happy,proud,strong","bravery,family,justice,leader","unequal,unfair,dangerous,expensive","racism,obesity,violence,injustice","capitalist,politics,western,military","mountain,coast,eagle,president","diverse,beautiful,powerful,strong","bravery,family,independence,opportunity","unequal,broken,unfair,expensive","racism,oppression,violence,injustice","capitalist,politics,constitution,military","mountain,coast,eagle,president","wealthy,diverse,beautiful,powerful","bravery,family,independence,leader","Yes, you may use my data",Republican,lowICD
Democrat,R,5,10,90,,,,Strongly agree,Strongly disagree,Strongly agree,30,60,"unequal,broken,unfair,expensive","greed,racism,corruption,obesity","capitalist,western,constitution,state","mountain,coast,eagle,president","wealthy,beautiful,powerful,proud","independence,justice,safety,opportunity",20,70,10,70,,,Strongly agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"angry,unfair,dangerous,sad","corruption,obesity,violence,drugs","capitalist,western,constitution,military","mountain,eagle,president,life","beautiful,powerful,proud,strong","bravery,justice,safety,opportunity","unequal,broken,expensive,ignorant","racism,oppression,violence,injustice","capitalist,politics,constitution,people","city,president,life,work","wealthy,beautiful,powerful,strong","bravery,independence,justice,safety","unequal,broken,unfair,ignorant","greed,racism,oppression,injustice","capitalist,politics,state,people","eagle,president,life,work","diverse,beautiful,innovative,proud","independence,safety,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,10,80,,,,Somewhat agree,Strongly disagree,Strongly agree,61,80,"unequal,dangerous,expensive,ignorant","greed,racism,obesity,injustice","capitalist,politics,western,military","land,city,president,work","wealthy,powerful,proud,strong","family,openness,independence,leader",61,78,10,80,,,Strongly agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Some of the time,"unequal,angry,unfair,expensive","greed,racism,obesity,violence","state,people,ocean,military","land,eagle,president,work","wealthy,powerful,proud,strong","family,independence,justice,leader","angry,dangerous,expensive,ignorant","greed,racism,corruption,obesity","capitalist,politics,western,military","eagle,city,president,work","wealthy,powerful,proud,strong","independence,justice,leader,opportunity","unequal,unfair,sad,expensive","racism,oppression,corruption,injustice","politics,western,constitution,people","land,coast,city,president","diverse,innovative,powerful,strong","family,openness,justice,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,20,70,,,,Somewhat agree,Strongly disagree,Strongly agree,70,90,"unequal,broken,unfair,sad","greed,racism,oppression,corruption","capitalist,politics,western,military","city,president,life,work","wealthy,diverse,innovative,powerful","independence,justice,safety,leader",60,80,20,70,,,Somewhat agree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Never,"angry,unfair,expensive,ignorant","greed,racism,corruption,drugs","capitalist,constitution,people,military","mountain,eagle,president,work","wealthy,powerful,happy,strong","bravery,openness,independence,opportunity","unequal,broken,unfair,expensive","racism,corruption,injustice,drugs","capitalist,politics,ocean,military","coast,city,president,work","wealthy,diverse,innovative,proud","independence,justice,leader,opportunity","broken,dangerous,sad,ignorant","greed,corruption,injustice,drugs","capitalist,state,people,military","coast,city,president,work","wealthy,beautiful,innovative,strong","bravery,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Republican,R,5,74,50,Somewhat agree,Somewhat disagree,Strongly agree,,,,100,100,"unequal,broken,unfair,sad","oppression,corruption,obesity,violence","politics,constitution,people,military","land,president,life,work","diverse,innovative,proud,strong","bravery,family,independence,opportunity",100,100,82,52,Somewhat agree,Somewhat disagree,,,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Some of the time,"unequal,broken,angry,unfair","oppression,corruption,violence,drugs","politics,constitution,people,military","land,president,life,work","diverse,powerful,proud,strong","bravery,family,independence,opportunity","unequal,broken,unfair,sad","oppression,corruption,violence,injustice","politics,constitution,people,military","eagle,president,life,work","diverse,innovative,proud,strong","bravery,family,independence,opportunity","unequal,broken,unfair,expensive","greed,racism,corruption,injustice","capitalist,politics,state,people","land,president,life,work","wealthy,diverse,powerful,proud","bravery,family,justice,opportunity","Yes, you may use my data",Democrat,highICD
Democrat,R,5,40,71,,,,Somewhat agree,Somewhat disagree,Somewhat agree,100,100,"unequal,dangerous,expensive,ignorant","racism,corruption,violence,drugs","western,constitution,people,military","land,eagle,president,life","wealthy,diverse,beautiful,powerful","family,openness,safety,opportunity",100,100,52,73,,,Somewhat agree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Rarely,"unequal,angry,unfair,dangerous","greed,oppression,obesity,violence","politics,constitution,state,people","mountain,land,eagle,president","beautiful,powerful,proud,strong","bravery,family,independence,opportunity","unequal,broken,dangerous,ignorant","obesity,violence,injustice,drugs","western,state,people,military","eagle,president,life,work","wealthy,beautiful,powerful,proud","bravery,family,justice,safety","unequal,unfair,dangerous,ignorant","racism,oppression,corruption,violence","capitalist,politics,western,people","mountain,city,life,work","diverse,innovative,happy,proud","bravery,family,independence,safety","Yes, you may use my data",Republican,lowICD
Democrat,R,5,0,70,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,100,100,"unequal,broken,unfair,ignorant","greed,oppression,corruption,injustice","capitalist,constitution,state,military","land,eagle,city,work","diverse,innovative,powerful,strong","bravery,family,independence,leader",100,100,0,70,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,expensive,ignorant","greed,corruption,obesity,violence","western,constitution,state,military","land,eagle,life,work","wealthy,powerful,proud,strong","family,independence,justice,opportunity","unequal,angry,unfair,expensive","corruption,obesity,violence,injustice","constitution,state,people,military","land,eagle,president,life","diverse,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,ignorant","greed,oppression,violence,injustice","politics,constitution,state,people","eagle,city,president,life","diverse,powerful,proud,strong","openness,independence,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,64,62,,,,Somewhat agree,Somewhat agree,Somewhat agree,100,100,"unequal,unfair,expensive,ignorant","greed,oppression,obesity,drugs","capitalist,politics,constitution,people","land,coast,life,work","wealthy,diverse,powerful,strong","bravery,independence,safety,opportunity",100,100,80,79,,,Somewhat disagree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Rarely,"broken,dangerous,sad,ignorant","greed,racism,violence,drugs","politics,constitution,state,military","land,coast,eagle,president","wealthy,beautiful,powerful,proud","bravery,family,independence,leader","broken,angry,expensive,ignorant","racism,oppression,corruption,injustice","politics,constitution,state,people","land,coast,city,life","diverse,innovative,proud,strong","bravery,independence,safety,opportunity","unequal,broken,angry,unfair","greed,corruption,violence,injustice","western,constitution,state,people","land,city,life,work","diverse,beautiful,happy,proud","family,justice,safety,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,20,80,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,100,100,"unequal,angry,unfair,ignorant","greed,racism,oppression,injustice","politics,constitution,state,people","land,city,president,work","wealthy,diverse,powerful,strong","bravery,family,independence,opportunity",100,100,20,80,,,Somewhat disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,dangerous,sad","corruption,obesity,violence,drugs","politics,constitution,people,military","eagle,president,life,work","beautiful,powerful,proud,strong","bravery,justice,leader,opportunity","unequal,broken,unfair,ignorant","greed,corruption,obesity,drugs","politics,constitution,state,military","mountain,land,coast,president","beautiful,powerful,proud,strong","bravery,family,independence,justice","unequal,angry,unfair,ignorant","racism,oppression,violence,injustice","politics,western,people,ocean","mountain,land,coast,city","diverse,innovative,powerful,strong","openness,independence,safety,opportunity","Yes, you may use my data",Republican,highICD
